Platform,WorkLoad,SubWorkLoad,SubWorkLoadScenario,Description,Action_Type,action_gesture,module_name,module_type,action_outcome,panel_type,action_scenario,action_scenario_type,action_subWorkLoad,thread_type,databag.rsvp,module_summary,target_thread_type,databag.meeting_rsvp,databag.is_toggle_on,databag.community_rsvp,main_entity_type,main_slot_app,eventInfo.identifier,databag.action_type,subNav_entity_type
Android,Collab action,Meeting,Community event - Join a community event through calendar,"After clicking the Join button for a community event through the calendar feature, click the Join Now button to capture this scenario",Secondary,touch,Enter now button,pushbutton,send,Pre-meeting interface,instantDialInMeeting,sessionOrMeeting,,,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Join a community event through calendar,"After clicking the Join button for a community event through the calendar feature, click the Join Now button to capture this scenario",Secondary,touch,Enter now button,pushbutton,send,Pre-meeting interface,instantJoin,sessionOrMeeting,,group,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Join a community event through calendar,"After clicking the Join button for a community event through the calendar feature, click the Join Now button to capture this scenario",Secondary,,Join session from lobby,display,,Display screen,enterMeeting,enterSession,,,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Join a community event through calendar,"After clicking the Join button for a community event through the calendar feature, click the Join Now button to capture this scenario",Secondary,touch,Choose community,pushbutton,choose,Event list view,chooseCommunityForEvent,scheduleEntry,,group,,,,,,,,,,,
IOS,Collab Action,Meeting,Community event - Join a community event through calendar,"Go to ""Calendar"" tab, Click on the ""Join"" for the particular community event and Click on ""Join Now"" button to join the community event",Primary,touch,Enter now button,pushbutton,send,Pre-meeting interface,instantJoin,sessionOrMeeting,,confidential meeting,,,,,,,,,,,
Maglev,Collab Action,Meeting,Community event - Join a community event through calendar,Join the event from the calendar tab by clicking join button,Primary, press,Join from calendar event card,pushbutton,send,Primary schedule,joinViaCalendarEvent,gathering,,,,,,,,,Planner,Planner App,Join meeting from calendar event,,
Maglev,Collab Action,Meeting,Community event - Join a community event through calendar,Join the event from the calendar tab by clicking join button,Secondary, press,Join session button,pushbutton,send,Primary schedule,enterMainSession,meetingCalendarGrid,,,,,,,,,Planner,Planner App,Join main meeting,ParticipateOnline,
Maglev,Collab Action,Meeting,Community event - Join a community event through calendar,Join the event from the calendar tab by clicking join button,Secondary,automatic,,,,Begin authentication,authenticationComplete,applicationAuthentication,sisu,,,,,,,,,,Auto auth init complete,,
Maglev,Collab Action,Meeting,Community event - Join a community event through calendar,Join the event from the calendar tab by clicking join button,Secondary,automatic,Initial app theme,,,Application theme,appInitialTheme,initialAppTheme,,,,,,,,,Conversations,Conversations,Auto apply start theme,,
Web,Collab Action,Meeting,Community event - Join a community event through calendar,Join the event from the calendar tab by clicking join button,Secondary, press,Join session button,pushbutton,send,Primary schedule,enterMainSession,meetingCalendarGrid,,,,,,,,,Group Events,Group App,Join main meeting,ParticipateOnline,Group Events
Web,Collab Action,Meeting,Community event - Join a community event through calendar,Join the event from the calendar tab by clicking join button,Secondary, press,Join session button,pushbutton,send,Primary schedule,enterMainSession,meetingCalendarGrid,,,,,,,,,Planner,Planner App,Join main meeting,ParticipateOnline,
Web,Collab Action,Meeting,Community event - Join a community event through calendar,Join the event from the calendar tab by clicking join button,Secondary, press,Join session button,,attend meeting,Dialing screen,connectFromPreJoinScreen,preSession,,,,,,,,,Conversations,Conversations,Join meeting pre-join screen,,
Web,Collab Action,Meeting,Community event - Join a community event through calendar,Join the event from the calendar tab by clicking join button,Secondary, press,Plan session button,pushbutton,send,,createCalendarEvent,createOrUpdateMeeting,,,,,,,,,Event Creation,Group App,Create new meeting,,
Web,Collab Action,Meeting,Community event - Join a community event through calendar,Join the event from the calendar tab by clicking join button,Primary, press,Join from calendar event card,pushbutton,send,Primary schedule,joinViaCalendarEvent,gathering,,,,,,,,,Planner,Planner App,Join meeting from calendar event,,
IOS,Collab Action,Meeting,Community event - Join a community event through chat,"Go to ""Chat"" tab, Enter the particular chat for a community event, Click on ""Join"" in the top of the chat, click on ""Join Now"" to join the meeting",Primary,touch,Enter now button,pushbutton,send,Pre-meeting interface,instantJoin,sessionOrMeeting,,confidential meeting,,,,,,,,,,,
IOS,Collab Action,Meeting,Community event - Join a community event through chat,"Go to ""Chat"" tab, Enter the particular chat for a community event, Click on ""Join"" in the top of the chat, click on ""Join Now"" to join the meeting",Secondary,touch,Enter now without details,pushbutton,send,Pre-meeting interface,instantJoinNoDetails,sessionOrMeeting,,confidential meeting,,,,,,,,,,,
IOS,Collab Action,Meeting,Community event - Join a community event through chat,"Go to ""Chat"" tab, Enter the particular chat for a community event, Click on ""Join"" in the top of the chat, click on ""Join Now"" to join the meeting",Secondary,,Session join logs,,,Meeting entry flow,tfw_meeting_joins,externalTrackingLink,,conference,,,,,,,,,,,
Maglev,Collab Action,Meeting,Community event - Join a community event through chat,"In the meeting thread,click on the join in the chat to join the event",Primary, press,Join session button,,join meeting without sound,Dialing screen,connectFromPreJoinScreen,preSession,,,,,,,,,Conversations,Conversations,Join meeting pre-join screen,,
Maglev,Collab Action,Meeting,Community event - Join a community event through event page,"In the communities tab, click on the Events option and it will navigate the page whjere you can join the event",Secondary, press,Channel panel,,attend meeting,Communication channel,joinScheduledMeetingTile,showDialogue,,groups,,,Groups,,,,Groups,Group App,Join scheduled meeting from channel,,Group
Maglev,Collab Action,Meeting,Community event - Join a community event through event page,"In the communities tab, click on the Events option and it will navigate the page whjere you can join the event",Primary,automatic,Initial app theme,,,Application theme,appInitialTheme,initialAppTheme,,,,,,,,,Conversations,Conversations,Auto apply start theme,,
Android,Collab action,Meeting,Community event - Join a community event through event tab,"After clicking join button in the events of a community event, click the Join Now button to capture this scenario",Secondary,touch,Confidential meeting,pushbutton,send,Universal button,webinarParticipantJoin,webinarParticipantEntry,,,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Join a community event through event tab,"After clicking join button in the events of a community event, click the Join Now button to capture this scenario",Secondary,touch,,,navigation,Active call or gathering,additionalSettings,connectToSession,,,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Join a community event through event tab,"After clicking join button in the events of a community event, click the Join Now button to capture this scenario",Secondary,touch,,,navigation,Active call or gathering,anonymousB2BUserMeeting,sessionParticipant,,,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Join a community event through event tab,"After clicking join button in the events of a community event, click the Join Now button to capture this scenario",Secondary,touch,Enter now button,pushbutton,send,Pre-meeting interface,instantDialInMeeting,sessionOrMeeting,,,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Join a community event through event tab,"After clicking join button in the events of a community event, click the Join Now button to capture this scenario",Secondary,touch,Enter now button,pushbutton,send,Pre-meeting interface,instantJoin,sessionOrMeeting,,group,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Join a community event through event tab,"After clicking join button in the events of a community event, click the Join Now button to capture this scenario",Primary,,Successfully entered session,display,,Display screen,enterMeeting,enterSession,,,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Join a community event through invite link,"After clicking the shared invite link of community event, click the Join Now button to capture this scenario",Secondary,touch,Lobby view,pushbutton,navigation,Lobby hold area,waitingInLobby,enterLobby,,,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Join a community event through invite link,"After clicking the shared invite link of community event, click the Join Now button to capture this scenario",Secondary,,Join session from lobby,display,,Display screen,enterMeeting,enterSession,,,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Join a community event through invite link,"After clicking the shared invite link of community event, click the Join Now button to capture this scenario",Secondary,touch,Enter now button,pushbutton,send,Pre-meeting interface,instantDialInMeeting,sessionOrMeeting,,,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Join a community event through invite link,"After clicking the shared invite link of community event, click the Join Now button to capture this scenario",Primary,touch,Enter now button,pushbutton,send,Pre-meeting interface,instantJoin,sessionOrMeeting,,group,,,,,,,,,,,
Web,Collab Action,Meeting,Community event - Join a community event through invite link,"In the One on One chat,Click the invite link which is shared",Primary, press,Join session button,,attend meeting,Pre-meeting setup screen,connectFromPreJoinScreen,preSession,,conference,,,Conference,,,,Conversations,Conversations,Join meeting pre-join screen,,
Maglev,Collab Action,Meeting,Community event - Join a community event through meeting tab,"In the Meet tab,click on the join button in the event listed in the page ",Primary, press,Join session button,,join meeting with computer sound,Dialing screen,connectFromPreJoinScreen,preSession,,,,,,,,,Conversations,Conversations,Join meeting pre-join screen,,
Android,Collab action,Meeting,Community event - Join a community event through post,"After clicking join button in the post of a community event, click the Join Now button to capture this scenario",Primary,touch,Confidential meeting,pushbutton,send,Universal button,webinarParticipantJoin,webinarParticipantEntry,,,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Join a community event through post,"After clicking join button in the post of a community event, click the Join Now button to capture this scenario",Secondary,touch,,,navigation,Active call or gathering,additionalSettings,connectToSession,,,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Join a community event through post,"After clicking join button in the post of a community event, click the Join Now button to capture this scenario",Secondary,touch,,,navigation,Active call or gathering,anonymousB2BUserMeeting,sessionParticipant,,,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Join a community event through post,"After clicking join button in the post of a community event, click the Join Now button to capture this scenario",Secondary,touch,Enter now button,pushbutton,send,Pre-meeting interface,instantDialInMeeting,sessionOrMeeting,,,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Join a community event through post,"After clicking join button in the post of a community event, click the Join Now button to capture this scenario",Secondary,touch,Enter now button,pushbutton,send,Pre-meeting interface,instantJoin,sessionOrMeeting,,group,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Join a community event through post,"After clicking join button in the post of a community event, click the Join Now button to capture this scenario",Secondary,,Successfully entered session,display,,Display screen,enterMeeting,enterSession,,,,,,,,,,,,,
IOS,Collab Action,Meeting,Community event - Join a community event through post,"Go to the ""Home"" tab, Click on any community, Click on the ""Join"" button in the post for a particular meeting and clikc on ""Join Now"" to join the community event",Primary,touch,Enter now button,pushbutton,send,Pre-meeting interface,instantJoin,sessionOrMeeting,,channel session,,,,,,,,,,,
IOS,Collab Action,Meeting,Community event - Join a community event through post,"Go to the ""Home"" tab, Click on any community, Click on the ""Join"" button in the post for a particular meeting and clikc on ""Join Now"" to join the community event",Secondary,touch,Enter now without details,pushbutton,send,Pre-meeting interface,instantJoinNoDetails,sessionOrMeeting,,channel session,,,,,,,,,,,
IOS,Collab Action,Meeting,Community event - Join a community event through post,"Go to the ""Home"" tab, Click on any community, Click on the ""Join"" button in the post for a particular meeting and clikc on ""Join Now"" to join the community event",Secondary,,Session join logs,,,Meeting entry flow,tfw_meeting_joins,externalTrackingLink,,,,,,,,,,,,,
Maglev,Collab Action,Meeting,Community event - Join a community event through post,"In the communities tab,click on the join in the post shared by people to join the event",Primary, press,Join session button,,join meeting without sound,Dialing screen,connectFromPreJoinScreen,preSession,,,,,,,,,Conversations,Conversations,Join meeting pre-join screen,,
Web,Collab Action,Meeting,Community event - Join a community event through post,"In the communities tab, click on the join in the post and then click join now in the prejoin screen",Secondary, press,Join session button,,attend meeting,Pre-meeting setup screen,connectFromPreJoinScreen,preSession,,conference,,,Conference,,,,Conversations,Conversations,Join meeting pre-join screen,,
Android,Collab action,Meeting,Community event - Join community event through Communityforyou ,"After clicking the join button from for you feature of a community event, click the Join Now button to capture this scenario",Secondary,touch,,,navigation,Active call or gathering,additionalSettings,connectToSession,,,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Join community event through Communityforyou ,"After clicking the join button from for you feature of a community event, click the Join Now button to capture this scenario",Secondary,touch,Confidential meeting,pushbutton,send,Universal button,webinarAttendeeConnection,webinarParticipantEntry,,,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Join community event through Communityforyou ,"After clicking the join button from for you feature of a community event, click the Join Now button to capture this scenario",Secondary,touch,Enter now button,pushbutton,send,Pre-meeting interface,connectViaDialIn,sessionOrMeeting,,,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Join community event through Communityforyou ,"After clicking the join button from for you feature of a community event, click the Join Now button to capture this scenario",Primary,touch,Enter now button,pushbutton,send,Pre-meeting interface,meetingJoin Now,instantMeet,,group,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Join community event through Communityforyou ,"After clicking the join button from for you feature of a community event, click the Join Now button to capture this scenario",Secondary,touch,Session join category,conferences,,Enter meeting,internalJoinMeeting,internalJoinSessions,,,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Join community event through Communityforyou ,"After clicking the join button from for you feature of a community event, click the Join Now button to capture this scenario",Secondary,,Session joined successfully,display,,Display screen,enterMeeting,enterSession,,,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Leave a community event,"Inside the community event, click on leave option to capture this scenario",Primary,,Session concluded,display,,Display screen,enterMeeting,enterSession,,,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Leave a community event,"Inside the community event, click on leave option to capture this scenario",Secondary,touch,Exit option on leave sheet,pushbutton,send,Action menu,exitPrompt,exitPrompt,,private chat,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Leave a community event,"Inside the community event, click on leave option to capture this scenario",Secondary,,API workflow,,,Event calendar,restfulApiCall,restfulService,,,,,,,,,,,,,
IOS,Collab Action,Meeting,Community event - Leave a community event,"Join a community event, Click on the Red call button, Click on ""Leave"" to leave the community event",Primary,touch,End call,pushbutton,send,Live session with lock screen capability,sessionTerminated,sessionOrMeeting,,,,,,,,,,,,,
IOS,Collab Action,Meeting,Community event - Leave a community event,"Join a community event, Click on the Red call button, Click on ""Leave"" to leave the community event",Secondary,touch,Exit option on leave sheet,pushbutton,display,Action menu,LeaveSheet,sessionTerminated,,,,,,,,,,,,,
Maglev,Collab Action,Meeting,Community event - Leave a community event,"In the Event ongoing page,click on the Leave to leave the event",Secondary, press,Terminate session button,,send,Ubar interface,endCurrentMeeting,callOrMeetup,,conference,,,Conference,,,,Conversations,Conversations,Stop meeting,,
Maglev,Collab Action,Meeting,Community event - Leave a community event,"In the Event ongoing page,click on the Leave to leave the event",Secondary,automatic,,,,Dialing screen,activateMediaFeatures,,,,,,,,,,Conversations,Conversations,Auto media features,,
Maglev,Collab Action,Meeting,Community event - Leave a community event,"In the Event ongoing page,click on the Leave to leave the event",Secondary,automatic,,,hang up,Ubar interface,,,,conference,,,Conference,,,,Conversations,Conversations,Auto,,
Maglev,Collab Action,Meeting,Community event - Leave a community event,"In the Event ongoing page,click on the Leave to leave the event",Primary,automatic,,,,,,,,,,,,,,,Conversations,Conversations,Auto,,
Web,Collab Action,Meeting,Community event - Leave a community event,"In the Event ongoing page,click on the Leave to leave the event",Primary,,Terminate session button,,send,Ubar interface,endCurrentMeeting,callOrMeetup,,conference,,,Conference,,,,Conversations,Conversations,Stop meeting,,
Web,Collab Action,Meeting,Community event - Leave a community event  by end for all,"In the meeting page,click on the leave dropdown and click end meeting",Secondary,,End call confirmation,pushbutton,hang up,Verify end call for all participants,confirmEndCall,exitDialogue,,,,,,,,,Conversations,Conversations,End call confirmation,,
Web,Collab Action,Meeting,Community event - Leave a community event  by end for all,"In the meeting page,click on the leave dropdown and click end meeting",Secondary,,,,display,Ubar interface,endMeetingOptions,callOrMeetup,,conference,,,Conference,,,,Conversations,Conversations,Select stop meeting options,,
Web,Collab Action,Meeting,Community event - Leave a community event  by end for all,"In the meeting page,click on the leave dropdown and click end meeting",Primary, press,End call confirmation,,hang up,Ubar interface,confirmEndCall,callOrMeetup,,conference,,,Conference,,,,Conversations,Conversations,Confirm end call,,
Web,Collab Action,Meeting,Community event - Leave a community event  by end for all,"In the meeting page,click on the leave dropdown and click end meeting",Secondary,,End call confirmation,pushbutton,hang up,Ubar interface,confirmEndCall,exitDialogue,,conference,,,Conference,,,,Conversations,Conversations,End call confirmation,,
Android,Collab action,Meeting,Community event - Leave a community event by end for all,"Inside the community event, click drop down option in leave option, click on end meeting for all to capture this scenario",Secondary,touch,Terminate call for everyone,pushbutton,send,Action menu,sessionTerminated,sessionOrMeeting,,private chat,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Leave a community event by end for all,"Inside the community event, click drop down option in leave option, click on end meeting for all to capture this scenario",Primary,,Session concluded,display,,Display screen,enterMeeting,enterSession,,,,,,,,,,,,,
Android,Collab action,Meeting,Community event - Leave a community event by end for all,"Inside the community event, click drop down option in leave option, click on end meeting for all to capture this scenario",Secondary,,API workflow,,,Event calendar,restfulApiCall,restfulService,,,,,,,,,,,,,
IOS,Collab Action,Meeting,Community event - Leave a community event by end for all,"Join a community event, Click on the Red call button, Click on ""End meeting for all"" to remove everyone from the community event",Primary,touch,End call,pushbutton,send,Live session with lock screen capability,sessionTerminated,sessionOrMeeting,,,,,,,,,,,,,
IOS,Collab Action,Meeting,Community event - Leave a community event by end for all,"Join a community event, Click on the Red call button, Click on ""End meeting for all"" to remove everyone from the community event",Secondary,touch,End session from leave sheet,pushbutton,display,Action menu,LeaveSheet,sessionTerminated,,,,,,,,,,,,,
Maglev,Collab Action,Meeting,Community event - Leave a community event by end for all,"In the meeting page,click on the leave dropdown and click end meeting and click end in the dioalog box",Primary, press,End call confirmation,,hang up,Ubar interface,confirmEndCall,callOrMeetup,,conference,,,Conference,,,,Conversations,Conversations,Confirm end call,,
